                 V_V1	             ID(M1)@1	             ID(M1)@2	             ID(M1)@3	             ID(M1)@4	             ID(M1)@5	             ID(M1)@6
                 2,85	2,85999999724562e-012	 0,000134443631395698	  0,00100549927446991	  0,00227697915397584	   0,0037359728012234	  0,00529107730835676
                  2,9	 2,9099999319937e-012	 0,000135087335365824	  0,00100906181614846	  0,00228480505757034	  0,00374895636923611	  0,00530990492552519
                 2,95	2,96000008358221e-012	 0,000135728667373769	  0,00101260468363762	  0,00229257461614907	  0,00376182445324957	  0,00532853370532393
                    3	3,01000001833029e-012	 0,000136367700179107	  0,00101612857542932	  0,00230029015801847	  0,00377458287402987	   0,0053469748236239
                 3,05	3,05999995307837e-012	 0,000137004521093331	  0,00101963430643082	  0,00230795424431562	  0,00378723698668182	  0,00536523805931211
                  3,1	3,11000010466689e-012	 0,000137639188324101	  0,00102312269154936	  0,00231556897051632	  0,00379979168064892	  0,00538333272561431
                 3,15	3,16000003941497e-012	 0,000138271774630994	  0,00102659419644624	  0,00232313643209636	  0,00381225207820535	  0,00540126767009497
                  3,2	3,20999997416305e-012	   0,0001389023673255	  0,00103004940319806	  0,00233065849170089	  0,00382462213747203	  0,00541905080899596
                 3,25	3,25999990891113e-012	 0,000139531010063365	  0,00103348912671208	  0,00233813747763634	  0,00383690581656992	  0,00543668959289789
                  3,3	3,31000006049964e-012	 0,000140157761052251	  0,00103691383264959	  0,00234557455405593	  0,00384910730645061	  0,00545419100672007
                 3,35	3,35999999524772e-012	 0,000140782693051733	  0,00104032398667187	  0,00235297158360481	  0,00386123009957373	  0,00547156156972051
                  3,4	 3,4099999299958e-012	 0,000141405878821388	  0,00104372017085552	  0,00236033019609749	  0,00387327745556831	  0,00548880686983466
                 3,45	3,46000008158431e-012	 0,000142027347465046	  0,00104710285086185	  0,00236765202134848	  0,00388525240123272	  0,00550593296065927
                  3,5	3,51000001633239e-012	 0,000142647157190368	  0,00105047249235213	  0,00237493822351098	  0,00389715796336532	  0,00552294496446848
                 3,55	3,55999995108047e-012	 0,000143265366205014	  0,00105382956098765	  0,00238219019956887	  0,00390899740159512	  0,00553984753787518
                  3,6	3,61000010266899e-012	 0,000143882032716647	   0,0010571745224297	    0,002389409346506	  0,00392077257856727	  0,00555664580315351
                 3,65	3,65999982057663e-012	 0,000144497200381011	  0,00106050784233958	  0,00239659659564495	  0,00393248675391078	  0,00557334395125508
     3,69999999999999	3,71000018900558e-012	 0,000145110912853852	  0,00106382975354791	  0,00240375334396958	  0,00394414179027081	  0,00558994570747018
     3,74999999999999	3,76000012375366e-012	 0,000145723228342831	  0,00106714060530066	  0,00241088075563312	  0,00395574001595378	  0,00560645572841167
     3,79999999999999	3,81000005850174e-012	 0,000146334161399864	  0,00107044097967446	  0,00241797952912748	  0,00396728422492743	  0,00562287727370858
     3,84999999999999	3,85999999324982e-012	 0,000146943799336441	  0,00107373122591525	  0,00242505106143653	  0,00397877534851432	  0,00563921360298991
     3,89999999999999	 3,9099999279979e-012	 0,000147552142152563	  0,00107701146043837	  0,00243209628388286	  0,00399021664634347	  0,00565546797588468
     3,94999999999999	3,95999986274598e-012	 0,000148159262607805	   0,0010802821489051	  0,00243911589495838	  0,00400160858407617	  0,00567164411768317
